Абдоминопластика  Косметическая операция в области живота, формирование талии.
Гильоширование  Нанесение на поверхность гравированием или полиграфическая печать орнаментов из тонких линий специальным способом. Применяется в качестве одной из степеней защиты на денежных купюрах и документах.
Гипербола  Преувеличение, как литературный прием.
Гиперкинез  Чрезмерные непроизвольные насильственные движения, возникающие при некоторых заболеваниях центральной нервной системы.
Гипертрофированность  Признак чрезмерного увеличения или преувеличения до неестественных размеров.
Гипнопедия  Метод обучения во время естественного сна.
Гипоним и гипероним  Понятия, выражающие частное свойство по отношению к другому (гипоним) и общее (гипероним). Например, дерево и яблоня: дерево – гипероним, яблоня – гипоним.
Гипотетический  Предположительный, основанный на гипотезе или на сочетании каких-либо условий.
Гистерезис  Отставание, задержка физических изменений вещества относительно воздействия других внешних факторов, вызывающих изменения. Петля гистерезиса – задержка изменений при циклическом воздействии.
Глоссолалия  Бессмысленные выкрики сочетания звуков в состоянии умопомрачения или религиозного экстаза.
Глоссофобия  Боязнь выступать на публике. Обычное дело…
Гносеология  Теория познания и всего, что с ним связано. Является философским обоснованием всей современной науки.
Гностицизм  Научное или религиозное течение, основывающееся на возможности познания сути вещей и абсолютной истины.
Гомеостаз  Постоянство состава и свойств внутренней среды, устойчивость функциональности организма, в том числе и к внешним реакциям.
Гомункул  Человеческое существо, которое по представлениям алхимиков можно получить в лабораторных условиях «в пробирке». Или, по мнению некоторых былых биологов, Г. – маленький человечек, находящийся в мужской сперме, который, попадая в организм женщины, начинает расти.
Гонзо  Репортаж или киноповествование от первого лица.
Грассирование  Картавость, проглатывание звука «р».
Грациализация  Утончение костей и уменьшение мышечной массы в результате эволюции.
Гротеск  Художественное преувеличение, выходящее за рамки правдоподобия, как правило, в сторону грубого высмеивания.
Грумминг  Уход за домашними животными. Сейчас преимущественно используется для описания косметического ухода за собаками и кошками.
Гуммирование  Обрезинивание поверхностей, нанесение покрытия. Технологический термин.
Дауншифтинг  Добровольный отказ от благ цивилизации в пользу простой и свободной жизни. Например, переход от городского образа жизни к сельскому.
Девиант  Субъект не соответствующий норме. Например, Чацкий для остальных персонажей пьесы "Горе от ума".
Дегенерация  Вырождение, ухудшение качеств из поколения в поколение. Соответственно, дегенерат – звено в цепочке вырождения, человек с соответствующими психическими и физическими признаками.
Деградация  Ухудшение и утрата некогда присутствующих качеств и достоинств, «отрицательное развитие».
Дедукция  Логическое умозаключение по принципу «от общего к частному». Индукция – наоборот, от частного к общему.
Дежавю  Ощущение того, что переживаемое в данный момент, уже происходило ранее.
Дезавуирование  Разоблачение действий и заявлений доверенного лица, несогласие с ними. Также заявление о том, что это лицо не является уполномоченным.
Деизм  Религиозное учение, рассматривающее бога, только как создателя, но не как всеобщий принцип управления. Характерно своей наукообразностью и неверием в разные чудеса.
Декантер  Сосуд (кувшин, графин), используемый для переливания вина из бутылки. Декантация - процесс переливания красного вина из бутылки в стеклянный сосуд с целью насыщения вина кислородом, отделения вина от осадка.
Декупаж  Декоративная техника в оформлении и дизайне: вырезание каких-либо узоров из плоских материалов (кожа, ткань, дерево) и последующее наклеивание на декорируемую поверхность.
Делинквент  Правонарушитель, преступник.
Делирий  Помрачение сознания: галлюцинации, суетливость, пространственная дезориентация…
Демаркация  Разметка границы на местности.
Деменция  Приобретенное слабоумие (Олигофрения - врожденное).
Демпинг  Сброс товаров или услуг по существенно заниженной цене, как средство конкурентной борьбы.
Демпфирование  Гашение колебаний и вибрационных нагрузок.
Денудация  Геологический процесс разрушения возвышенностей и заполнение низин продуктами разрушения, что приводит к выравниванию поверхности.
Депривация  Ощущение недостаточности удовлетворения своих потребностей.
Дериват  Следствие или производное от чего-то уже существовавшего ранее. Дериватив – финансовый документ, основанный на другом документе и зависящий от него.
Десикант  Химическое вещество, применяемого в сельском хозяйстве, действие которого приводит к обезвоживанию тканей растения, что ускоряет созревание плодов и подсушивает ботву.
Деструкция  Разрушение, нарушение нормальной структуры чего-либо.
Детант  Ослабление международной напряженности: мир и дружба.
Детерминант  Выражение, составленное из элементов матрицы, с помощью которых находится решение линейных систем уравнений.
Детерминизм  Всеобщая причинная обусловленность и причинная взаимосвязь всех явлений, отрицание случайностей.
Дефинитивный  Окончательно установленный, доказанный.
Дефиниция  Определение, истолкование понятия.
Дефростация  Размораживание.
Децимация  Казнь каждого десятого.
Диалектика  В широком смысле метод мышления, исходящий из противоречивости, единой целостности и развития действительности. Также само развитие чего-либо во всех проявлениях форм и противоречий.
Дивергенция  Расхождение каких-либо признаков и свойств в результате неких процессов или внешних факторов.
Диверсификация  Разнообразие. В экономике – варианты развития и сохранения средств расширением и освоением новых вариантов вложения капитала.
Дидактика  Теория педагогического образования и обучения. Дидактический – наставительный, поучительный.
Диммирование  Технический термин, регулирование напряжения в энергосберегающих лампах.
Дисания  Состояние, при котором трудно утром просыпаться и вставать с кровати.
Дисклеймер  Отказ некоего информационного источника от ответственности за последствия от использования информации другими лицами, также отказ правообладателя от авторских прав.
Дискредитация  Утрата доверия.
Дискретизация  Представление сплошной величины (явления) в виде отдельных последовательных элементов.
Дискурс  Высказывание или текст, излагающий некую отдельную целенаправленную важную мысль.
Дислалия  Косноязычие, неправильное произношение звуков речи.
Дислексия  Нарушение способности чтения, при котором не идентифицируются или путаются буквы в тексте.
Дисморфофобия  Патологическое состояние собственного физического несовершенства, чрезмерное переживание по поводу собственных физических недостатков, порой несуществующих.
Диссидент  Человек, имеющий и выражающий каким-то образом свою позицию, отличающуюся от доминирующей идеологии в обществе или государстве.
Диссонанс  Несогласованность, несоответствие.
Диссоциация  Распад личности в результате нарушения взаимосвязи психических процессов.
Дистимия  Подавленное, тоскливое настроение.
Дистинкция  Познавательный акт, в результате которого выявляются различия между предметами или явлениями.
Дисфория  Болезненная озлобленность, сопровождаемая вспышками гнева и агрессии.
Дифракция  Явление огибания препятствий волнами любой природы, будь то электромагнитные, звуковые или волны на воде...
Диффамация  Распространение в средствах массовой информации сведений, порочащих кого-либо.
Дифференциация  Разделение целого на части обусловленные каким-либо признаком.
Диффузия  Проникновение, просачивание одного вещества в другое, до полного и равномерного растворения.
Дихотомия  Последовательное деление на две части, затем каждой части снова на две и т. д.
Доктрина  Руководящий теоретический или политический принцип, учение, научная или философская теория.
Евгеника  Учение о наследовании здоровья, красоты, одаренности и других положительных качеств.
Евхаристия  Одно из таинств христианства, причащение – «вкушение» тела Христа под видом вина и хлеба.
Епитимия  Наказание в христианстве: пост, молитвы.
Жантильный  Кокетливый, нарочито манерный, избалованный.
Жирандоль  Фигурный подсвечник или фонтан в несколько струй.
Жирирование  Перевод именной ценной бумаги на другое лицо, другой термин – индоссирование.
Жовиальность  Веселье и жизнерадостность.
Зиккурат  Культовое сооружение в виде многоступенчатой пирамиды. Термин родом из древнего Междуречья.
Зороастризм  Одна из древнейших огнепоклоннических религий, возникших в центральной Азии, сейчас в упадке, вытеснена в основном исламом.
Идентификация  Установление соответствия по ряду прямых и косвенных признаков, отождествление или самоотождествление.
Идиома  Фразеологизм, фразеологический оборот, т.е. устойчивое словосочетания, имеющее самостоятельное смысловое значение, не связанное с каждым из составляющих его слов. Например, «упереться рогом», «тёртый калач».
Идиосинкразия  Повышенная чувствительность к некоторым веществам или явлениям.
Имманентный  Присущий предмету или явлению в качестве естественного внутреннего свойства. Противоположность – трансцендентный (т.е. непостижимый, божественный).
Иммерсия  Погружение в жидкость, а также оптический прием, когда между объективом микроскопа и рассматриваемым объектом добавляют каплю жидкости для усиления яркости и расширения границ увеличения изображения.
Импеданс  Комплексное сопротивление гармоническим колебаниям: электромагнитным, акустическим или механическим.
Императив  Повеление, настоятельное требование, властное давление. Также повелительное наклонение глагола («делай»).
Имплементация  Выполнение международных обязательств на внутригосударственном уровне.
Импонировать  Производить положительное впечатление, внушать уважение, нравиться.
Импульсивность  Совершение действий непроизвольных, вызванных импульсом, импульсивный – не отдающий себе отчета.
Инбридинг  Скрещивание близкородственных организмов (братьев с сёстрами) для получения новых пород и сортов.
Инвазия  Заражение организма животными паразитами, глистами или насекомыми, например.
Инвектива  Гневная, вплоть до оскорбления, речь в адрес кого-то.
Ингибитор  Вещество, снижающее скорость химических реакций или полностью их подавляющее.
Индифферентность  Безразличие, безучастность.
Индоктринация  Распространение вплоть до навязывания в обществе неких политических или религиозных идей (доктрин).
Индульгенция  Отпущение грехов за деньги у католиков.
Инженю  Амплуа актрисы, исполняющей простодушных и наивных девушек.
Инициация  Посвятительный обряд, в более широком смысле мероприятие или событие переводящее личность в иное состояние, как правило, высшее.
Инкапсуляция  Создание оболочки (капсулы), вокруг некоего объекта или группы объектов, с целью защиты или блокировки.
Инкорпорирование  Включение в свой состав, подключение к своим процессам.
Инкубус  Мифологический злой дух в мужском обличии, приходящий женщинам в эротических снах. Появление чревато неприятностями.
Инкурабельность  Неизлечимость.
Инсайдер  Лицо в силу своего положения, имеющее доступ к конфиденциальной информации о делах фирмы.
Инсайт  Просветлённое состояние, в котором достижимы откровения и новые познания.
Инсигния  Знак высшей власти: скипетр, диадема, трон.
Инсинуация  Злостный клеветнический вымысел.
Инспирация  Побуждение к действию, мотивация или вдохновение. Созвучно и близко по смыслу инспирированию. В более конкретном случае И. – это вдох, в то время как, экспирация – выдох, а респирация – процесс дыхания.
Инспирирование  Влиятельное воздействие, побудительное внушение.
Инсургент  Повстанец.
Интенция  Цель, намерение. Или в более широком смысле направленность сознания, воли, чувств на что-то конкретное.
Интерактивность  Способность информационной среды взаимодействовать с получателем информации, реагировать на его действия.
Интериоризация  Движение извне вовнутрь, в психологии – формирование личности через усвоение внешних факторов, социальных норм.
Интерполяция  Метод нахождения промежуточной величины по двум соседним.
Интерференция  Взаимное усиление или ослабление волн при наложении одной на другую, что образует, например, в оптике чередование темных и светлых полос.
Интронизация  Торжественное возведение на высокую должность, «на трон».
Ипохондрия  Болезненно-угнетенное состояние, болезненная мнительность.
Иррадиация  Оптическое явление, при котором светлые объекты на темном фоне кажутся больше, чем есть, и наоборот. Также в медицине – ощущение боли за пределами пораженного участка тела.
Исихазм  Религиозно-мистическое учение о единении человека с богом через отрешенность от внешнего мира и сосредоточенный самоконтроль.
Истеблишмент  Наиболее состоятельная и влиятельная часть общества, его верхушка.
Итерация  Повторное применение каких-либо действий с целью приближения более точного конечного результата.
Кавитация  Образование пузырьков воздуха (газа, пара) в жидкости, вызванное снижением давления.
Каденция  В политике: срок действия полномочий лица на выборной должности, в музыке: финальный оборот музыкального фрагмента.
Казуистика  Изворотливость в защите ложных, сомнительных положений. Подведение частных случаев под общую догму.
Калокагатия  Гармония внешних и внутренних качеств человека.
Камео  Появление известной персоны в кинофильме в эпизодической роли.
Карвинг  Художественная резка обычно по овощам и фруктам. Также в парикмахерском деле – долговременная завивка.
Кастомизация  Ориентация на потребителя, следование непосредственным запросам покупателя, при производстве товара или оказании услуги.
Катавасия  Беспорядок и неразбериха, путаница в делах.
Катагеластицизм  Нездоровая склонность к высмеиванию других людей.
Каталепсия  Двигательное расстройство, при котором тело или конечности застывают в принятом или приданном им положении с потерей способности к сознательному управлению. Наблюдается при гипнозе, истерическом возбуждении, глубоких медитациях, психических заболеваниях.
Катарсис  Изменение сознания, через сильное переживание.
Катахреза  Соединение несовместимых, противоречивых понятий, иногда в переносном смысле.
Квантитативность  Количественное свойство.
Квиетизм  Смирение и пассивная безучастность, простое созерцание.
Квинтэссенция  Самое главное, суть.
Кейнсианство  Экономическая теория предполагающая государственное вмешательство в экономику, но в рамках капиталистической идеологии.
Кенотаф  Памятная пустая могила, при недоступности праха для погребения.
Киберпанк  Современный жанр социальной и научной фантастики, для которого характерны бурное развитие и тотальное проникновение цифровых технологий, сопровождаемое моральным и нравственным разложением общества и личности. Как правило это мрачные антиутопии, описывающие недалекое будущее или альтернативные истории прошлого и настоящего.
Кинетический  Связанный с движением.
Клеврет  В хорошем смысле: единомышленник и соратник, в плохом (чаще именно так) – продавшийся, не искренний приспешник кого-то покровителя или некой идеи.
Клептократия  Воровская власть, власть жуликов.
Клиентела  Форма социальной зависимости. В Древнем Риме взаимоотношение господ и их «клиентов».
Клинч  «Боксерские объятия», когда боксеры обхватывают друг друга, чтобы сковать действия соперника или просто отдохнуть. Запрещенный прием.
Клоакинг  Способ «черного», то есть не совсем честного, продвижения сайтов в интернете.
Когерентность  Связанное протекание двух или нескольких колебательных волновых процессов при постоянной разнице их фаз.
Когнитивность  Способность сознания к восприятию информации и ее усвоению.
Коллаборационизм  Сотрудничество с оккупантом или общим неприятелем, врагом.
Коллизия  Столкновение противоположных сил, интересов, стремлений.
Кольеретка  Винная этикетка, наклеиваемая у основания горлышка бутылки.
Комбатант  Лица принимающие участие в боевых действиях со стороны государства, входящие в регулярную армию или любые другие вооружённые формирования.
Комильфо  Нечто приличное, вписывающееся в общепринятые нормы.
Коморбидность  Клинический факт параллельно протекающего заболевания на фоне основного и более очевидного.
Компаративистика  Общее название для наук, базирующихся на сравнительном анализе. Например, сравнительное языкознание.
Компендий  Краткое и обобщённое изложение основных положений какого-либо исследования или научной дисциплины.
Компромисс  Соглашение, достигнутое в результате взаимных уступок.
Компульсивный  Осознаваемый, при полном самоконтроле. Импульсивный — наоборот, бесконтрольный.
Конвенционализм  «Соглашательство» в науке, условное принятие недоказанных фактов и игнорирование «неудобных».
Конвенция  Разновидность договора обуславливающего поведение сторон в каком-то вопросе.
Конвергенция  Сближение и приобретение сходства по ряду признаков изначально разных систем.
Конверсия  Процесс и результат перевода одного качества в другое.
Конгениальность  Сходство по духу, аналогичность хода мыслей.
Конгломерация  Соединение разнородных объектов одно целое при сохранении их изначальных свойств и признаков.
Конгруэнтность  Соразмерность, соответствие, совмещение.
Кондоминиум  Совместное владение единым объектом, как правило, недвижимым имуществом.
Кондуит  Записная книжка, если высокопарно, а в дореволюционной России гимназический журнал для записей проступков учащихся.
Конкатенация  Объединение ряда символов в одну линейную структуру, например, «мой» + «до» + «дыр» = «мойдодыр».
Конкубинат  Сожительство вне брака. Допускалось древнеримским правом, откуда и слово. Сейчас обычное дело.
Коннотация  Дополнительное значение чего-либо, вторичное, сопутствующее.
Консенсус  Согласие по спорному вопросу, достигнутое в результате сближения позиций.
Консильери  В мафии не член семьи, но пользующееся доверием лицо.
Консистентность  Согласованность и взаимосвязь информационных данных.
Консолидация  Сплочение, укрепление связей для достижения общих целей.
Константа  Постоянная величина, неизменный параметр.
Констатация  Сообщение об установленном или несомненном факте.
Консумация  Стимулирование потребления товаров или услуг созданием определенной обстановки, когда клиент готов бездумно тратить деньги.
Континуитет  Преемственность.
Континуум  Непрерывность неких процессов и явлений, сплошная неразрывная среда, напр., пространство и/или время.
Контрапункт  Многоголосие, сочетание двух и более линий в одной мелодии.
Контрибуция  Дань с побеждённого.
Конформность  Усвоение личностью социальных норм и ценностей, непроизвольное следование за мнением большинства.
Концессия  Передача государством в эксплуатацию на какой-то срок природных ресурсов или госсобственности. Также само предприятие, осуществляющее эту деятельность.
Кооптация  Введение в выборный орган новых лиц без дополнительных выборов (довыборов).
Копирайт  Авторское право или знак, фиксирующий это право. Русификация английского слова copyright.
Копирайтинг  Написание рекламных и коммерческих текстов. От английского слова copywriting.
Корреляция  Взаимозависимость, соотношение объектов, понятий или явлений. К. прямая, если признаки двух взаимосвязанных объектов меняются в одном направлении, и обратная, если в разных.
Краудфандинг  Коллективное участие людей в проекте добровольным объединением своих финансовых и иных ресурсов.
Кредо  Жизненные принципы, мировоззренческие убеждения.
Крепатура  Боль в мышца спустя несколько часов (или на следующий день) после непривычно физической нагрузки.
Крионирование  Замораживание людей (или других живых существ) на длительное сохранение до того времени, когда, например, появится средство излечения от ныне смертельных болезней или просто придумают как вечно жить.
Криптид  Животное или растение, существование которого не подтверждено наукой. Может иметь мифическое происхождение или предполагаемое, но на данный момент не доказанное. Например, единорог или снежный человек.
Криптология  Наука о шифрах. Всё, что начинается на «крипто», имеет отношение к скрытым смыслам, тайнам.
Культуртрегер  В ироническом смысле агрессивный носитель культуры, её «насаждатель».
Кундалини  Некая энергия (сила), дремлющая у основания позвоночника, которую можно пробудить средствами йоги.
Кунштюк  Ловкий трюк, шутка.
Купажирование  Смешение различных вин. Купаж – вино, получаемое в результате купажирования.
Куртуазность  Чрезмерная изысканность, напыщенная любезность.
Лабильность  Неустойчивость, изменчивость.
Ламинарный  Вид тихого течения жидкости или газа, при котором все частицы движутся параллельно без перемешивания.
Лапидарность  Выразительная краткость высказывания.
Латентность  Скрытость, неяркое проявление существующего признака.
Латифундия  Крупное землевладельческое поместье.
Левитация  Преодоление гравитации и полет человеческого тела или предметов без каких-либо приспособлений и механических воздействий. Считается магической практикой, в природе нигде не встречается.
Летаргия  Болезненное состояние бездействия, характеризующееся отсутствием реакций на внешние раздражители, т.н. летаргический сон, который может длиться несколько суток.
Лигатура  Литера, образованная слиянием двух букв, знаков. Например, "Æ".
Лидогенерация  Вид интернет-маркетинга, заключающийся в сборе данных о клиенте, заинтересованном в том или ином товаре, через заполняемые на сайтах контактные формы и профили.
Лизинг  Долгосрочная аренда оборудования и т.п., при которой арендатор постепенно выплачивает его стоимость, тем самым, приобретая арендуемое.
Лимитроф  Окраинное приграничное государственное образование или территория при более крупном и влиятельном государстве (империи).
Лубрикант  Смазка
Лупанарий  Публичный дом.
Люминесценция  Холодное свечение, вызванное различными, но не температурными, воздействиями.
Люмпен  Представитель деклассированных слоев населения (бомжи, низовой криминал). Увеличение числа представителей таких слоев в обществе.
Люстрация  Очищающие обряды у древних народов, в современном смысле – запрет по политическим признакам некоторым лицам занимать высокие государственные должности. Например, применялось к бывшим нацистам в Германии.
Макабр  Танец смерти.
Мальтузианство  Концепция, объясняющая низкий уровень жизни высокими темпами увеличения народонаселения, опережающего рост производства.
Маммопластика  Пластическая операция по коррекции молочных желез. Редукционная М. – уменьшение груди.
Манкирование  Пренебрежительное отношение к своим обязанностям.
